[15:02:44.787][C][gpio.binary_sensor:016]: GPIO Binary Sensor 'PIN 20'
[15:03:00.079][S][binary_sensor]: 'PIN 20' >> ON
[15:03:00.084][D][DESK:061]: 00
[15:03:01.466][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:01.466][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:01.466][D][DESK:061]: 9B:04:15:BF:C2:9D
[15:03:01.466][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:01.493][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:01.493][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:01.555][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:01.555][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:01.567][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:01.567][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:01.568][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:01.568][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:01.596][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:01.596][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:01.596][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:01.660][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:01.661][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:01.661][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:01.661][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:01.662][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:01.693][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:01.693][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:01.730][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:01.730][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:01.764][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:01.764][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:01.764][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:01.764][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:01.802][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:01.803][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:01.803][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:01.803][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:01.831][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:01.858][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:01.858][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:01.868][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:01.927][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:01.928][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:01.928][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:01.928][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:01.957][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:01.957][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:01.957][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:01.957][D][DESK:061]: 9B:04:15:BF:C2:9D
[15:03:01.995][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:01.996][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:01.999][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:01.999][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.065][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:02.066][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.066][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.067][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.096][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.096][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:02.096][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.096][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.143][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.143][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.156][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.156][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.185][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:02.185][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.185][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.199][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.243][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.244][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:02.266][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.266][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.302][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.302][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.302][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:02.302][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.312][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.340][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.340][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.373][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.392][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.393][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:02.393][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.393][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.411][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.417][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.439][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.444][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.462][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:02.483][D][DESK:061]: 9B:04:15:BF:C2:9D
[15:03:02.483][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.483][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.500][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:02.514][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.522][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.539][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.546][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.569][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.574][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.586][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:02.600][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.609][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.624][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.639][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.653][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:02.668][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.675][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.697][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.710][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.713][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:02.727][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.743][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.753][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.770][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.780][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:02.794][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.811][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.818][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:02.844][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.849][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.858][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.876][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.890][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:02.901][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.911][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.928][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:02.949][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.949][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.975][D][DESK:061]: 9B:04:15:BF:C2:9D
[15:03:02.981][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:02.991][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:02.998][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:03.013][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.020][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.052][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.052][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.078][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:03.085][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.092][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.111][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:03.126][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.134][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.153][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.162][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.180][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:03.194][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.213][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.224][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:03.237][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.256][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:03.265][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:03.284][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
